Time,PosX,PosY,PosZ,VelX,VelY,VelZ,Yaw,Pitch,Roll
2.201999999999979,0.5792646301318681,7.551838385251191e-16,1.139968816746443,0.011908426742938278,-3.6831907283041957e-16,-0.10780923988654882,4.004757627733018e-17,-0.23130896131410775,6.043476346501119e-16
2.203999999999979,0.579288446985354,7.544472003794582e-16,1.13975319826667,0.012505142379795098,-3.7972137571886477e-16,-0.10786471492808627,3.974152194427191e-17,-0.23143492034334612,6.052992803188769e-16
2.2059999999999786,0.5793134572701135,7.536877576280205e-16,1.1395374688368138,0.013099496100002422,-3.9114391990649406e-16,-0.1079167430886901,3.949690066628538e-17,-0.23156135482896528,6.056815944664559e-16
2.2079999999999784,0.5793396562623135,7.529054697882076e-16,1.1393216353506364,0.013691477174910883,-4.0257589541091333e-16,-0.10796534303201537,3.9323280053578124e-17,-0.23168825769635684,6.054923499207151e-16
2.209999999999978,0.5793670392166633,7.5210031799738575e-16,1.1391057046645723,0.014281075016937138,-4.1400643935411313e-16,-0.10801053341772451,3.8902265547558024e-17,-0.23181562190046132,6.04693838592668e-16
2.211999999999978,0.5793956013666972,7.512723051186776e-16,1.138889683597737,0.014868279179141847,-4.2542415738761203e-16,-0.10805233290098819,3.852381233365169e-17,-0.23194344042571985,6.035525060233483e-16
2.2139999999999778,0.5794253379250555,7.504214568039023e-16,1.1386735789319349,0.015453079354806398,-4.3682251988586766e-16,-0.10809076013198814,3.8183233705222236e-17,-0.23207170628602478,6.018473640834538e-16
2.2159999999999775,0.5794562440837651,7.4954781176413065e-16,1.138457397411671,0.016035465377008375,-4.48190814624987e-16,-0.10812583375542224,3.787582128896533e-17,-0.23220041252466997,5.996904993505701e-16
2.2179999999999773,0.579488315014519,7.486514301348807e-16,1.1382411457441601,0.016615427218195825,-4.595204488090021e-16,-0.10815757241001168,3.760637631225242e-17,-0.23232955221429938,5.97080678380174e-16
2.219999999999977,0.5795215458689554,7.477323892372627e-16,1.1380248305993401,0.01719295498976033,-4.708027995989525e-16,-0.10818599472801026,3.737018381409506e-17,-0.23245911845685646,5.940190795533898e-16
