Time,PosX_1,PosY_1,PosZ_1,VelX_1,VelY_1,VelZ_1,Yaw_1,Pitch_1,Roll_1,PosX_2,PosY_2,PosZ_2,VelX_2,VelY_2,VelZ_2,Yaw_2,Pitch_2,Roll_2
0.0,0.0,0.0,0.0,0.007148582025731623,0.0,0.007058871322104071,0.0,-0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,-0.0,0.0
0.002,1.4297164051463246e-05,0.0,1.4117742644208144e-05,0.014296828759305678,0.0,0.014116491316840719,3.262461711763047e-07,2.0007831642599818e-07,1.7640523786050782e-06,2.000020126900583,2.0,3.587461557461592e-05,2.000020126900583,2.0,3.587461557461592e-05,-2.0560082408397312e-05,-0.00022532221157197773,0.00022850154907966426
0.004,4.2890821570074604e-05,0.0,4.2350725277889585e-05,0.02144442060130479,-4.472449789806331e-08,0.021171645874367647,6.139882650652925e-07,2.996937324006077e-07,4.472503596965768e-06,2.000060379703059,2.0,0.00010762011956175799,2.000060379703059,2.0,0.00010762011956175799,-6.0686662003727886e-05,-0.0006765649999053622,0.0006836677942399419
0.006,8.577966277268418e-05,-8.944899579612662e-11,8.469401702662489e-05,0.028591040035583947,-1.5962501314681844e-07,0.02822316073177563,1.0464361177929087e-06,3.8681138092408577e-07,7.933351854603848e-06,2.0001207395056824,1.9999999824253314,0.00021523365900674035,2.0001207395056824,1.9999999824253314,0.00021523365900674035,-0.00012086246110328028,-0.0013525451824254494,0.0013651388028647197
0.008,0.00014296174284385207,-4.086990220897635e-10,0.00014114033849017615,0.03573638174750768,-3.637044992267839e-07,0.03526989777647159,6.231389665561741e-07,-9.825958536038429e-08,1.1692838326953454e-05,2.0002011694798285,1.9999999122943268,0.00035871331237474356,2.0002011694798285,1.9999999122943268,0.00035871331237474356,-0.00020129401390066927,-0.0022528310609686137,0.0022726926033533506
0.01,0.00021443450633886743,-1.1361080205433313e-09,0.00021168013404311933,0.04288013511216947,-6.709940771561413e-07,0.042310758766328435,2.2209066512667113e-07,-1.5494338961786787e-06,1.7712181160102177e-05,2.000301614979391,1.9999997372522693,0.0005380580856921476,2.000301614979391,1.9999997372522693,0.0005380580856921476,-0.00030137076499448326,-0.0033761108980092888,0.003404687218670394
0.012,0.00030019477656320636,-2.478096174855614e-09,0.0002963016515757762,0.05002198838481423,-1.1415068809786091e-06,0.0493446832293767,-4.675709121436763e-07,-3.1651016957751235e-06,2.3868917591200768e-05,2.000422003593681,1.9999993876073532,0.0007532679010964113,2.000422003593681,1.9999993876073532,0.0007532679010964113,-0.0004217692557531742,-0.004722117004601863,0.004758272262571434
0.014,0.00040023875333283483,-4.761109936812832e-09,0.0003949910180345296,0.05716166034049347,-1.7808547684816287e-06,0.05637063905922243,-1.2745925321951033e-06,-4.669182499432727e-06,3.123399495794194e-05,2.000562245265494,1.9999987764961251,0.001004343541574036,2.000562245265494,1.9999987764961251,0.001004343541574036,-0.000563348283835981,-0.006289766264349684,0.006333832178696692
0.016,0.0005145620740138217,-8.32281947377609e-09,0.0005077322961529745,0.0642988860243759,-2.6219302800753012e-06,0.0633876254187232,-2.2374784211610025e-06,-5.844674670924974e-06,3.68632066994103e-05,2.0007222323298457,1.999997800120313,0.0012912865921591396,2.0007222323298457,1.999997800120313,0.0012912865921591396,-0.0007257988344215483,-0.008077515873489325,0.008129696515835397
0.018000000000000002,0.0006431598460625735,-1.3566680033926693e-08,0.0006345075469904209,0.07143341495586474,-3.6194504335838877e-06,0.0703946723740137,-3.4823328217743207e-06,-7.951438439215137e-06,4.084404254625515e-05,2.000901839614015,1.999996337743867,0.0016140993437911751,2.000901839614015,1.999996337743867,0.0016140993437911751,-0.0009102957867774553,-0.010083126049779574,0.010144927396164228
0.020000000000000004,0.000786026675974303,-2.0805580901094467e-08,0.0007752968917384484,0.07856497158310305,-4.731394886904595e-06,0.07739085058181681,-4.684489470626438e-06,-1.0865837779498515e-05,4.476086559795914e-05,2.001100924571699,1.9999942518735676,0.0019727846636993585,2.001100924571699,1.9999942518735676,0.0019727846636993585,-0.0011171740507795085,-0.012304589246090914,0.012377450966511801
0.022000000000000006,0.0009431566191405092,-3.026837067490366e-08,0.000930078592902082,0.085693291939229,-5.955620384876894e-06,0.08437526063141473,-6.137536859561403e-06,-1.5197146872190235e-05,4.796472072132694e-05,2.001319327468956,1.9999913883618692,0.0023673458315185713,2.001319327468956,1.9999913883618692,0.0023673458315185713,-0.0013471344376214914,-0.014739224594063708,0.01482303173950615
0.024000000000000007,0.0011145432030189673,-4.2179611444657446e-08,0.0010988291141649114,0.09281810393552241,-7.274811137819271e-06,0.09134703746505582,-7.86937021270421e-06,-2.076675126625623e-05,4.9497292166752425e-05,2.00155687155348,1.9999875766176598,0.0027977863611529184,2.00155687155348,1.9999875766176598,0.0027977863611529184,-0.0016007691290340572,-0.017384286249491784,0.017481031188475684
0.02600000000000001,0.0013001794108900122,-5.672923372029599e-08,0.001281523189095023,0.0999391481489309,-8.646396158364453e-06,0.09830534404738474,-9.439869247785061e-06,-2.8673024504137934e-05,5.213003475031878e-05,2.001813363274037,1.999982629977852,0.003264109790367647,2.001813363274037,1.999982629977852,0.003264109790367647,-0.0018791785403974445,-0.020237904979100725,0.020348100375769427
