Epoch	EpRet	EpLen	TotalEnvInteracts	Time	VVals_1	LossPi_1	LossV_1	Entropy_1	KL_1	ClipFrac_1
45	44.82228	324.4	230000	222.25199675559998	8.79506	3.0517577e-09	14.901739	0.9071206	0.0025716675	0.0094
46	31.07834	224.0	235000	226.1998589038849	8.91312	1.9550324e-09	14.273764	0.9069083	0.0009800827	0.0004
47	47.48919	340.14285	240000	230.73648715019226	8.939294	2.0599366e-08	13.837284	0.90670556	0.004204661	0.041
48	58.01994	412.5	245000	234.580659866333	8.95572	-3.6430357e-08	16.209988	0.90650225	0.0042894953	0.03
49	60.555508	425.72726	250000	242.07280850410461	9.008657	8.106232e-09	17.394447	0.90628165	0.0050949655	0.0082
50	68.330864	473.5	255000	246.73142981529236	9.047811	-4.9591065e-09	19.208462	0.90600467	0.00031011924	0.0012
51	69.97892	479.3	260000	251.22856521606445	9.098195	-2.5463104e-08	20.0818	0.90580624	0.0008053397	0.0
52	74.55849	507.1111	265000	258.7493453025818	9.144458	-1.7547608e-08	21.671997	0.90564007	8.2578066e-05	0.0
53	72.41524	493.0	270000	263.60919642448425	9.200061	4.7492982e-08	20.723854	0.9055093	0.0002918732	0.0
54	75.98953	520.3333	275000	268.97328901290894	9.265425	-1.0919571e-08	20.38597	0.90540224	0.00032033562	0.0
55	77.17767	526.1111	280000	272.8884437084198	9.325322	-3.0231476e-08	20.645195	0.9053395	-0.0001570048	0.0
56	79.26109	537.44446	285000	276.8922321796417	9.385165	1.0681152e-08	20.816973	0.90530574	0.00013962813	0.0
57	80.295586	546.1111	290000	282.1933434009552	9.436159	1.7547608e-08	20.622044	0.9052541	0.0005804351	0.0
58	93.606316	630.2857	295000	286.5805160999298	9.500123	3.8051606e-08	22.798601	0.90528125	0.00096939114	0.0
59	89.87208	603.125	300000	290.872759103775	9.572436	4.005432e-09	21.850492	0.90524864	0.0005449385	0.0
60	90.46747	604.0	305000	295.7968018054962	9.613778	3.2043456e-08	22.285091	0.90525764	0.00093785743	0.0
61	103.39496	689.8571	310000	300.11851978302	9.67156	4.7540663e-08	23.311138	0.9053054	0.0002052229	0.0
62	104.282524	689.1429	315000	304.15205454826355	9.7404	1.4400483e-08	24.097626	0.90529394	0.0010419288	0.0
63	91.837204	615.25	320000	308.0539581775665	9.852918	-4.6920775e-08	20.859566	0.90522844	0.00028628303	0.0
64	98.875786	660.0	325000	312.7067563533783	9.906177	-9.441376e-09	21.614159	0.90515286	9.074318e-05	0.0
65	90.041374	610.25	330000	319.3058850765228	10.003708	3.528595e-09	18.931086	0.9050264	0.0016693131	0.0002
66	88.502335	602.75	335000	326.7410535812378	10.093202	2.0217895e-08	18.007048	0.9049409	0.0006938823	0.0
67	81.65388	558.875	340000	330.59787011146545	10.163877	4.196167e-09	17.219692	0.90491533	0.001254797	0.0
68	80.65958	551.0	345000	335.4578080177307	10.229951	-4.9591065e-09	17.053007	0.9048742	0.0015191607	0.0
69	80.08725	553.1111	350000	339.48058676719666	10.29568	-7.915497e-09	16.009113	0.90478945	-5.0838877e-05	0.0
70	83.21877	572.0	355000	344.31164026260376	10.354582	3.4427643e-08	16.303059	0.9047766	0.0013988793	0.0004
71	84.42316	583.375	360000	348.25278067588806	10.416393	1.707077e-08	15.675978	0.90473634	0.0011548816	0.001
72	85.336945	581.875	365000	353.4245591163635	10.47174	1.2493134e-08	16.352428	0.90470695	0.0003804579	0.0002
73	86.008514	586.25	370000	357.21930956840515	10.499494	-1.935959e-08	16.344429	0.90467304	0.0010071819	0.0
74	89.354706	604.5	375000	361.87789392471313	10.571623	-6.4849854e-09	16.523481	0.9046707	0.00087013457	0.0
75	84.50877	578.5	380000	369.3992877006531	10.600955	1.0490417e-09	15.8038	0.9046866	0.0005860839	0.0
76	84.43529	571.5	385000	373.2989399433136	10.671579	-2.9563905e-09	15.638936	0.9046221	0.0006457645	0.0
77	87.255165	590.5	390000	378.6291275024414	10.711895	-2.708435e-08	15.681638	0.9045456	0.0001333765	0.0
78	86.86017	585.875	395000	383.2519037723541	10.745171	-1.4781952e-08	16.009878	0.90446854	0.00041820217	0.0
79	83.90704	564.375	400000	387.7578010559082	10.80401	-1.2969971e-08	15.527434	0.9043331	0.00036550008	0.0
80	89.344376	597.875	405000	395.14948892593384	10.848079	2.1743775e-08	15.986019	0.90416116	0.0014503722	0.0
81	90.49991	602.0	410000	399.14332127571106	10.887139	-1.8167496e-08	16.100857	0.9039784	0.00038681485	0.0
82	92.42526	617.5	415000	403.0898609161377	10.876086	1.4877319e-08	16.333128	0.9037988	0.00048410177	0.0
83	91.98388	611.25	420000	410.497887134552	10.96792	-2.8133393e-08	15.985119	0.9036501	0.0005428492	0.0
84	96.35975	637.5714	425000	415.8876280784607	10.99038	-1.27792354e-08	16.141521	0.9035628	-7.345236e-05	0.0
85	93.716385	620.875	430000	419.6159977912903	11.062938	2.5177002e-08	15.951162	0.90348417	0.00025832944	0.0
86	91.865265	609.25	435000	424.2589738368988	11.08068	7.915497e-09	15.568717	0.9034236	0.0005271349	0.0
87	93.27907	617.625	440000	428.2658567428589	11.131954	-6.008148e-09	15.288136	0.90335584	-9.9316385e-05	0.0
88	96.531395	635.5714	445000	433.6171233654022	11.203015	1.0681152e-08	15.5519285	0.9031779	0.00047568456	0.0
89	98.88977	651.0	450000	438.92121148109436	11.247608	1.5830993e-08	15.386936	0.90301037	6.262422e-05	0.0
90	97.652664	643.2857	455000	442.77021193504333	11.281572	-1.1634826e-08	15.197778	0.9028259	0.00013175062	0.0
91	95.08588	626.7143	460000	446.63366174697876	11.313198	4.577637e-09	14.9826765	0.902618	0.0007342678	0.0
92	102.35241	670.1429	465000	454.1311926841736	11.391355	-3.242493e-08	14.868052	0.902376	4.0767e-05	0.0
93	91.51193	604.75	470000	459.3839979171753	11.421557	3.6239625e-09	14.042481	0.9021249	0.00019666167	0.0
94	92.83678	615.25	475000	463.7529282569885	11.449108	-1.0681152e-08	13.953607	0.9018533	8.8362285e-05	0.0
95	87.69101	580.25	480000	468.4644205570221	11.496395	-1.1253357e-08	13.757533	0.90164304	2.4953128e-05	0.0
96	92.471176	609.25	485000	472.3389494419098	11.510798	2.861023e-09	13.943158	0.90143037	-0.00012257721	0.0
97	91.18889	602.375	490000	476.34286284446716	11.563291	-6.67572e-10	13.300891	0.9012378	-6.143883e-05	0.0
98	93.385666	617.4286	495000	481.5283122062683	11.579968	-6.341934e-09	13.061063	0.9010259	0.00020058475	0.0
99	91.35087	603.125	500000	485.4874310493469	11.622682	1.9454957e-08	12.915959	0.90079665	0.00048401102	0.0
100	91.85402	605.375	505000	489.2243456840515	11.64952	-3.0517577e-09	12.952043	0.90059024	1.9495392e-05	0.0
101	92.65001	612.125	510000	493.6303117275238	11.663894	1.3542175e-08	12.827655	0.90030646	6.368323e-05	0.0
102	93.710556	619.75	515000	497.4466669559479	11.668232	8.5830687e-10	12.663869	0.90002245	0.00044468816	0.0
103	89.402115	592.875	520000	502.15998697280884	11.69546	1.3160705e-08	11.936841	0.8997538	0.00021277556	0.0
104	90.648605	600.0	525000	506.69461607933044	11.708394	3.1471252e-09	11.954102	0.899512	-9.1544534e-05	0.0
105	85.3492	568.5	530000	514.0903527736664	11.695973	-6.008148e-09	11.1463375	0.8992432	0.00024869334	0.0
106	91.05916	606.25	535000	517.941801071167	11.702829	-5.2452087e-09	10.997358	0.8989	0.0006399651	0.0
107	88.924255	588.875	540000	521.7195835113525	11.686169	2.0980835e-09	10.710533	0.8985756	0.00082017767	0.0
108	87.41553	580.25	545000	525.4798066616058	11.670289	-9.346008e-09	10.055528	0.8982544	-0.00013548794	0.0
109	84.86401	564.625	550000	529.5028114318848	11.593653	-5.531311e-09	9.468575	0.8980006	0.00045633173	0.0
110	88.21512	582.375	555000	533.2795610427856	11.590473	-1.2159347e-08	9.28377	0.89782804	-0.00033524242	0.0
111	89.043205	587.75	560000	537.2339534759521	11.531072	-2.5749207e-09	8.784551	0.8977249	0.00055026717	0.0
112	86.59129	574.0	565000	544.5771312713623	11.422262	-3.8146972e-10	8.016844	0.89768386	0.000688904	0.0
113	90.51518	598.125	570000	552.0616495609283	11.343959	-1.4686584e-08	7.7232084	0.8976493	0.0003094906	0.0
114	84.340996	558.875	575000	556.1417953968048	11.15996	-3.2806398e-08	6.809367	0.8975272	0.00026119957	0.0
115	87.932785	580.875	580000	560.0813460350037	11.132975	2.6130676e-08	6.648754	0.8972966	0.000105294486	0.0
